"Recibido","ID de Pedido","Canal","Estado del pedido","Marca","Tienda","Cantidad de los artículos","Subtotal","Propina","Service Fee","Ajustes","Descuento","Descuento de la plataforma","Payout","Error Charges","Aceptado","Modo de cumplimiento","Tipo de programación","Currency Code"
"29/10/2023, 21:22:50","AELDRZ1Q","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","3","39.40","0.00","0.00","0.00","0.00","0.00","39.40","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 21:15:07","A6UGSKED","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Calle Bazan","2","22.20","0.00","0.00","0.00","0.00","0.00","22.20","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 21:13:44","83780","Uber Eats","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","2","40.10","0.00","0.00","0.00","0.00","0.00","26.51","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 21:07:42","55DB4","Uber Eats","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","1","30.50","0.00","0.00","0.00","0.00","0.00","20.17","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 20:43:13","A19VSML1","Glovo","Entregado","Tepuy Basics","Goleta","1","15.30","0.00","0.00","0.00","0.00","0.00","15.30","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 20:41:39","ARAVZDKR","Glovo","Entregado","Tepuy Basics","Goleta","3","26.00","0.00","0.00","0.00","0.00","0.00","26.00","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 20:38:33","MQQBHVVP","Glovo","Entregado","Tepuy Basics","EMEA - SP - MAD - Salamanca","1","15.90","0.00","0.00","0.00","-3.18","0.00","12.72","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 20:35:55","AAFZCHLZ","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Calle Bazan","2","28.60","0.00","0.00","0.00","0.00","0.00","28.60","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 20:31:51","63884","Uber Eats","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","4","35.60","0.00","0.00","0.00","0.00","0.00","23.54","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 20:27:54","AKQUXGNL","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Calle Bazan","2","13.10","0.00","0.00","0.00","0.00","0.00","13.10","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 20:15:04","4D663","Uber Eats","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","3","33.40","0.00","0.00","0.00","0.00","0.00","22.09","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 19:59:28","DCC67","Uber Eats","Entregado","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","2","14.40","0.00","0.00","0.00","0.00","0.00","9.52","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 19:47:55","AH1VBJAD","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Calle Bazan","1","12.90","0.00","0.00","0.00","0.00","0.00","12.90","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 19:47:07","AS6HR9FV","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Calle Bazan","2","22.60","0.00","0.00","0.00","-1.98","0.00","20.62","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 19:34:19","AUAPG1YL","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Calle Bazan","1","15.40","0.00","0.00","0.00","0.00","0.00","15.40","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 19:32:55","BXUBM45W","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","3","31.90","0.00","0.00","0.00","0.00","0.00","31.90","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 19:32:43","AB1UW1S3","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Calle Bazan","2","25.00","0.00","0.00","0.00","-2.86","0.00","22.14","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 19:12:09","BF1CX1CX","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","1","14.30","0.00","0.00","0.00","0.00","0.00","14.30","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 19:08:57","B11KKXPT","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","1","32.00","0.00","0.00","0.00","0.00","0.00","32.00","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 19:05:45","B1M4USVA","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","3","25.50","0.00","0.00","0.00","0.00","0.00","25.50","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 17:23:00","ARZSZ7EB","Glovo","Entregado","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","2","18.80","0.00","0.00","0.00","0.00","0.00","18.80","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 16:20:43","A3HSWGCS","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Calle Bazan","1","15.00","0.00","0.00","0.00","-2.50","0.00","12.50","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 16:18:32","BDVFAZXR","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","2","11.30","0.00","0.00","0.00","0.00","0.00","11.30","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 15:57:27","248DD","Uber Eats","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","2","23.10","0.00","0.00","0.00","0.00","0.00","15.27","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 15:39:46","F7865","Uber Eats","Entregado","Tepuy Basics","EMEA - SP - MAD - Tetuan","1","11.90","0.00","0.00","0.00","0.00","0.00","7.87","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 15:08:37","A4P8QLY1","Glovo","Entregado","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","1","12.60","0.00","0.00","0.00","0.00","0.00","12.60","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 14:44:55","BPC11SXS","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","2","24.70","0.00","0.00","0.00","0.00","0.00","24.70","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 14:39:57","35143","Uber Eats","Entregado","Tepuy Basics","Goleta","3","19.30","0.00","0.00","0.00","0.00","0.00","12.77","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 14:37:31","AB8SLFVW","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Calle Bazan","6","102.40","0.00","0.00","0.00","0.00","0.00","102.40","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 14:33:12","CE21B","Uber Eats","Entregado","Tepuy Basics","Umbrella SH - Calle Linares","2","14.80","0.00","0.00","0.00","0.00","0.00","9.79","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
